"Birreria","Indirizzo","Provincia"
"Birrofila","Tadino 52,20124,Milano,Italy","MI"
"Curtense","Bachelet, 7,25050,Passirano,Italy","BS"
"La Fenice","Vittorio Veneto 28,25034,Orzinuovi,BS,Italy","BS"
"La Mia Birra","Roma 49,23833,Premana,Italy","LC"
"Luppolajo Farmhouse Brewery","Strada Carpenedolo 13,46042,Castel Goffredo,Italy","MN"
"Luppoleto Camuno","Nazionale 81,25040,Gianico,Italy","BS"
"Mad One","Beduschi 45,26041,Caslmaggiore,Italy","CR"
"Microbirrifico Rhaudhum","Trento 33/8,20017,Rho,Italy","MI"
"Mister B Brewery","Folegno 63 ,46030,San giorgio,Italy","MN"
"Monangi brew Pub","Moroni 200,24127,Bergamo,Italy","BG"
"Rail road Brewing Company","Rossini 13,20851,Lissone,Italy","MB"
"Serra Storta","Alessandro Manzoni 89,20010,Busacte,Italy","MI"
"Stuvenagh","località cascina la Boatta,27040,Fortunago,Italy","PV"
"The Beer District","Vittorio Veneto 1/P,26010,Ripalta Cremasca,Italy","CR"
"The Brave","Saragat 7,26900,Lodi,Italy","LO"
"The wall Italian Craft Beer","Galileo Galilei 17,21055,Gorla minore,Italy","VA"
"Vetra","Leone XIII  14,20145,Milano,Italy","MI"
"50&50","merano 5,21100,Varese,Italy","VA"
"Agribirrificio Suaraunda","Industria 108,24040,Pagazzano,Italy","BG"
"BABM srl","Madonna delle rose 23,24061,Albano S. Alessandro,Italy","BG"
"Balanders Birrificio Camuno","Italia 12/C 25044,25044,Capo di Ponte,Italy","BS"
"Birra Eretica","libero Grassi18,20876,Ornago,Italy","MB"
"Birra gaia","Emilio Vergani 16,20841,Carate Brianza,Italy","MB"
"Birra Hoppy-Hobby","Sempione 193,20025,Legnano ,Italy","MI"
"BIRRA LA DAMA","Benaco 90/F ,25081,Bedizzole,Italy","BS"
"BIRRA MUTTNIK","Giuseppe Saragat  13,27100,Pavia ,Italy","PV"
"Birrificio AcmE","DELLE INDUSTRIE 18,20060,Basiano,Italy","Mi"
"BIRRIFICIO AGRICOLO PAGUS","Montegrappa 43,24060,Rogno,Italy","BG"
"Birrificio Barba d'Oro","Luigi Capuana 10,20090,Trezzano sul naviglio,Italy","MI"
"Birrificio Cascinazza","Località Cascinazza,20090,Buccinasco,Italy","MI"
"BIRRIFICIO DI LEGNANO","garibaldi 130,20025,Legnano,Italy","MI"
"Birrificio Ex Fabrica","Maroncelli 7,21154,Milano,Italy","MI"
"Birrificio Gambolo'","cimitero 13,27025,Gambolo',Italy","PV"
"Birrificio Il Conte Gelo","Boto da Vigevano 5,27029,Vigevano,Italy","PV"
"Birrificio Italiano","MARCONI 27,22070,Limido Comasco,Italy","CO"
"Birrificio la Ribalta","Cevedale 3,20158,Milano,Italy","MI"
"BIRRIFICIO LAMBRATE","PRIVATA GAETANO SBODIO 30/1,20134,Milano,Italy","MI"
"BIRRIFICIO LARIANO","Pavigie 6,23844,Sirone,Italy","LC"
"Birrificio Legnone","Milano 24,23015,Dubino,Italy","SO"
"Birrificio Lemine","Toscanini 11,24031,Almenno San Salvatore,Italy","BG"
"Birrificio Lob","Varese 23 22070,22070,Fenegò,Italy","CO"
"Birrificio Manerba","Trevisago 19 25080,25080,Manerba del Garda,Italy","BS"
"BIRRIFICIO MENARESTA","PIAZZA RISORGIMENTO 1,20841,Carate Brianza,Italy","MB"
"BIRRIFICIO OTUS","RUMI 7,24068,Seriate,Italy","BG"
"BIRRIFICIO PORTA BRUCIATA","INDUSTRIALE 16,25050,Rodegno,Italy","BS"
"BIRRIFICIO RURALE"," Commercio 2,20832,Desio,Italy","MB"
"Birrificio Wackybrew","Don Gnocchi 5,23880,Casatenovo,Italy","LC"
"Birrificio WAR","Cascina San Moro,20060,Cassina de Pecchi,Italy","MI"
"Bosco grosso","Cascina del Bosco 1,24040,Casirate d'Adda,Italy","BG"
"Brewfist","borsa 2/B,26845,Codogno,Italy","LO"
"CARROBIOLO","INDIPENDENZA 1,20900,Monza,Italy","MB"
"DARF BIRRIFICIO ARTIGIANALE","CAVALLERA 21,25047,Darfo Boario Terme,Italy","BS"
"De la Tour","Repubblica 49,23037,Tirano,Italy","SO"
"Doppio Malto brewing company","MILANO 9 ,22036,Erba,Italy","CO"
"Dulac","DELLE BAZZONE 2/A ,23851,Galbiate,Italy","LC"
"Gritz Brewing company","Artigianato 15,25030,Erbusco,Italy","BS"
