"Birreria","Indirizzo","Città","CAP","Provincia"
"Birrofila","Via Tadino 52","Milano","20124","MI"
"La Curtense","Via Bachelet 7","Passirano","25050","BS"
"LA FENICE","Via Vittorio Veneto 28","Orzinuovi","25034","BS"
"La Mia Birra di Valsassina","VIA ROMA 49/A","Premana","23843","LC"
"Luppolajo Farmhouse Brewery","STRADA CARPENEDOLO 13","Castel Goffredo","46042","MN"
"Luppoleto Camuno","Via nazionale 81","Gianico","25040","BS"
"Mad One","Via Beduschi 45","Caslmaggiore","26041","CR"
"Microbirrifico Rhaudhum","via Trento 33/8","Rho","20017","MI"
"Mister B Brewery","Via Folegno 63 ","San giorgio","46030","MN"
"Monangi brew Pub","Via Moroni 200","Bergamo","24127","BG"
"Rail road Brewing Company","Via Rossini 13","Lissone","20851","MB"
"Serra Storta","Via Alessandro Manzoni 89","Busacte","20010","MI"
"Stuvenagh","località cascina la Boatta","Fortunago","27040","PV"
"The Beer District","Via Vittorio Veneto 1/P","Ripalta Cremasca","26010","CR"
"The Brave","viale Saragat 7","Lodi","26900","LO"
"The wall Italian Craft Beer","Via Galileo Galilei 17","Gorla minore","21055","VA"
"Vetra","Via Leone XIII  14","Milano","20145","MI"
"50&50","via merano 5","Varese","21100","VA"
"Agribirrificio Suaraunda","Via dell'Industria 108","Pagazzano","24040","BG"
"BABM srl","Via Madonna delle rose 23","Albano S. Alessandro","24061","BG"
"Balanders Birrificio Camuno","Via Italia 12/C 25044","Capo di Ponte","25044","BS"
"Birra Eretica","Via libero Grassi18","Ornago","20876","MB"
"Birra gaia","Via Emilio Vergani 16","Carate Brianza","20841","MB"
"Birra Hoppy-Hobby","Corso Sempione 193","Legnano ","20025","MI"
"BIRRA LA DAMA","Via Benaco 90/F ","Bedizzole","25081","BS"
"BIRRA MUTTNIK","via Giuseppe Saragat  13","Pavia ","27100","PV"
"Birrificio AcmE","VIA DELLE INDUSTRIE 18","Basiano","20060","Mi"
"BIRRIFICIO AGRICOLO PAGUS","Via Montegrappa 43","Rogno","24060","BG"
"Birrificio Barba d'Oro","via Luigi Capuana 10","Trezzano sul naviglio","20090","MI"
"Birrificio Cascinazza","Località Cascinazza","Buccinasco","20090","MI"
"BIRRIFICIO DI LEGNANO","corso garibaldi 130","Legnano","20025","MI"
"Birrificio Ex Fabrica","Via Maroncelli 7","Milano","21154","MI"
"Birrificio Gambolo'","Via cimitero 13","Gambolo'","27025","PV"
"Birrificio Il Conte Gelo","via Boto da Vigevano 5","Vigevano","27029","PV"
"Birrificio Italiano","VIA G. MARCONI 27","Limido Comasco","22070","CO"
"Birrificio la Ribalta","via Cevedale 3","Milano","20158","MI"
"BIRRIFICIO LAMBRATE","VIA PRIVATA GAETANO SBODIO 30/1","Milano","20134","MI"
"BIRRIFICIO LARIANO","Via delle Pavigie 6","Sirone","23844","LC"
"Birrificio Legnone","Viale Milano 24","Dubino","23015","SO"
"Birrificio Lemine","via Toscanini 11","Almenno San Salvatore","24031","BG"
"Birrificio Lob","via Varese 23 22070","Fenegò","22070","CO"
"Birrificio Manerba","Via Trevisago 19 25080","Manerba del Garda","25080","BS"
"BIRRIFICIO MENARESTA","PIAZZA RISORGIMENTO 1","Carate Brianza","20841","MB"
"BIRRIFICIO OTUS","VIA RUMI 7","Seriate","24068","BG"
"BIRRIFICIO PORTA BRUCIATA","VIA INDUSTRIALE 16","Rodegno","25050","BS"
"BIRRIFICIO RURALE","Via Del Commercio 2","Desio","20832","MB"
"Birrificio Wackybrew","Via Don Gnocchi 5","Casatenovo","23880","LC"
"Birrificio WAR","Cascina San Moro","Cassina de Pecchi","20060","MI"
"Bosco grosso","Cascina del Bosco 1","Casirate d'Adda","24040","BG"
"Brewfist","via borsa 2/B","Codogno","26845","LO"
"CARROBIOLO","P.ZZA INDIPENDENZA 1","Monza","20900","MB"
"DARF BIRRIFICIO ARTIGIANALE","VIA CAVALLERA 21","Darfo Boario Terme","25047","BS"
"De la Tour","Via della Repubblica 49","Tirano","23037","SO"
"Doppio Malto brewing company","VIA MILANO 9 ","Erba","22036","CO"
"Dulac","VIA DELLE BAZZONE 2/A ","Galbiate","23851","LC"
"Gritz Brewing company","Via dell’Artigianato 15","Erbusco","25030","BS"
